timestamp,elapsed_s,battery,intake_air_temp,coolant_temp,rpm,load
2026-08-15T18:33:08.281+00:00,123.357,0.0,-33.5,-32.5,0.0,0.0
2026-08-15T18:33:09.815+00:00,124.892,0.0,-33.5,-32.5,0.0,0.0
2026-08-15T18:33:11.350+00:00,126.426,0.0,-33.5,-32.5,0.0,0.0
2026-08-15T18:33:12.885+00:00,127.961,0.0,-33.5,-32.5,0.0,0.0
2026-08-15T18:33:14.435+00:00,129.511,0.0,-33.5,-32.5,0.0,0.0
2026-08-15T18:33:15.970+00:00,131.046,0.0,-33.5,-32.5,0.0,0.0
2026-08-15T18:33:17.520+00:00,132.596,0.0,-33.5,-32.5,0.0,0.0
2026-08-15T18:33:19.055+00:00,134.131,0.0,-33.5,-32.5,0.0,0.0
2026-08-15T18:33:20.605+00:00,135.681,0.0,-33.5,-32.5,0.0,0.0
2026-08-15T18:33:22.155+00:00,137.231,0.0,-33.5,-32.5,0.0,0.0
2026-08-15T18:33:23.690+00:00,138.766,0.0,-33.5,-32.5,0.0,0.0
2026-08-15T18:33:25.240+00:00,140.316,0.0,-33.5,-32.5,0.0,0.0
2026-08-15T18:33:26.775+00:00,141.851,0.0,-33.5,-32.5,0.0,0.0
2026-08-15T18:33:28.325+00:00,143.401,0.0,-33.5,-32.5,0.0,0.0
2026-08-15T18:33:29.860+00:00,144.936,0.0,-33.5,-32.5,0.0,0.0
